date,count
24-Aug-20,8650
25-Aug-20,16392
26-Aug-20,14193
27-Aug-20,10436
28-Aug-20,9268
31-Aug-20,9227
1-Sep-20,14794
2-Sep-20,20128
3-Sep-20,12242
4-Sep-20,10444
8-Sep-20,8968
9-Sep-20,23392
10-Sep-20,23466
11-Sep-20,11802
14-Sep-20,10341
15-Sep-20,18152
16-Sep-20,15909
17-Sep-20,12504
18-Sep-20,13206
21-Sep-20,9448
22-Sep-20,16910
23-Sep-20,14858
24-Sep-20,10865
25-Sep-20,9258
28-Sep-20,9221
29-Sep-20,16743
30-Sep-20,15027
1-Oct-20,10315
2-Oct-20,19135
5-Oct-20,10470
6-Oct-20,19082
7-Oct-20,16194
8-Oct-20,11864
9-Oct-20,16934
13-Oct-20,10136
14-Oct-20,25707
15-Oct-20,19046
16-Oct-20,12715
19-Oct-20,11108
20-Oct-20,21823
21-Oct-20,17506
22-Oct-20,12290